0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:44 +0000] "GET /BTS/Controle/List?classeId=1 HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:49 +0000] "GET /BTS/Controle/Delete?id=18 HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:49 +0000] "GET /BTS/Controle/Delete?id=1 HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:49 +0000] "GET /BTS/Controle/List?classeId=1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:49 +0000] "GET /BTS/Controle/List?classeId=1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:52 +0000] "GET /BTS/E.Professeur/Classes HTTP/1.1" 200 42823
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:52 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:52 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:52 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:52 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:52 +0000] "GET /BTS/Classe/List HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:55 +0000] "GET /BTS/E.Professeur/ClasseDetails?id=2 HTTP/1.1" 200 62995
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:55 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:55 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:55 +0000] "GET /BTS/Classe/Details?id=2 HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:55 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:55 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:55 +0000] "GET /BTS/Scolarite/List?classeId=2 HTTP/1.1" 200 4135
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:55 +0000] "GET /BTS/Controle/List?classeId=2 HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:55 +0000] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:55 +0000] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:00 +0000] "GET /BTS/FormeEvaluation/List HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:00 +0000] "GET /BTS/Matiere/List HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:00 +0000] "GET /BTS/Unite/List HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:10 +0000] "GET /BTS/ModuleByMatiere/List?matiereId=8 HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:19 +0000] "POST /BTS/Controle/Add HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:19 +0000] "GET /BTS/Controle/List?classeId=2 HTTP/1.1" 200 2802
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:25 +0000] "GET /BTS/E.Professeur/Controle?id=28 HTTP/1.1" 200 54081
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:25 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:25 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:25 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:25 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:25 +0000] "GET /BTS/Controle/List?classeId=28 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:25 +0000] "GET /BTS/ControleNote/List?controleId=28 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:31 +0000] "GET /BTS/E.Professeur/Controle?id=28 HTTP/1.1" 200 54081
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:31 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
